codigo_produto,produto_nome,base_legal,unidade,data_atualizacao
1404,MONITOR DIGITAL DE GRANDEZAS ELÉTRICAS,"Portaria Interministerial ME/MCTI nº 7.442, de 28 de junho de 2021",UNIDADE,
1405,CONTADOR DIGITAL,"Portaria Interministerial ME/MCTI nº 7.442, de 28 de junho de 2021",UNIDADE,16/08/2024 17:08
1406,RELÉ DE TEMPO PROGRAMÁVEL,"Portaria Interministerial MDIC/MCT nº 11, de 19 de janeiro de 2009",UNIDADE,16/08/2024 17:08
1407,RELÉ DE NÍVEL,"Portaria Interministerial MDIC/MCTI nº 259, de 14 de outubro de 2011 OBS: Não digital",UNIDADE,
1409,"SUPORTE DO CHASSI PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1410,"BRAÇO DO FREIO DIANTEIRO OU TRASEIRO PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1412,"PEDAL DE PARTIDA PARA VEÍCULOS ATÉ 250 CM³ (CICLOMOTOR, MOTONETA, MOTOCICLETA, TRICICLO E QUADRICICLO)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1414,"BARRA DIREITA E ESQUERDA DO PEDAL DE APOIO TRASEIRO PARA MOTOCICLO, MOTONETA, MOTOCICLETA, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1415,APARELHO PARA ELIMINAR CALOS,"Portaria Interministerial MDIC/MCT nº 185, de 13 de novembro de 2002",UNIDADE,25/04/2018 11:04
1416,APARELHO PARA MODELAR CABELO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI Nº 14.763, DE 17 DE DEZEMBRO DE 2021",UNIDADE,07/02/2025 11:02
1417,REVELADOR FOTOGRÁFICO,"Portaria Interministerial MDIC/MCT nº 230, de 3 de junho de 2003",LITRO,
1418,FIXADOR FOTOGRÁFICO,"Portaria Interministerial MDIC/MCT nº 230, de 3 de junho de 2003",LITRO,
1419,BRANQUEADOR FOTOGRÁFICO,"Portaria Interministerial MDIC/MCT nº 230, de 3 de junho de 2003",LITRO,
1420,ESTABILIZADOR PARA REVELAÇÃO DE FOTOGRAFIA,"Portaria Interministerial MDIC/MCT nº 230, de 3 de junho de 2003",LITRO,
1421,DISPOSITIVO PARA TESTE DE DOENÇAS ENDÊMICAS,"Portaria Interministerial MDIC/MCT nº 162, de 2 de maio de 2003",UNIDADE,08/10/2024 17:10
1422,FECHADURA ELÉTRICA,"Portaria Interministerial MDIC/MCTIC nº 2, de 10 de janeiro de 2018",UNIDADE,16/08/2024 17:08
1423,REDUTOR DE PRESSÃO PARA EQUIPAMENTO DE CONVERSÃO DE MOTORES PARA USO DE GÁS NATURAL,Portaria Interministerial MDIC/MCT nº 209 de 3 de dezembro de 2002,UNIDADE,12/07/2024 17:07
