produto_id,status,n_insumos
1916,ok,614
1919,ok,9
1920,ok,16
1925,ok,15
1927,ok,135
1930,ok,7
1931,ok,385
1933,ok,30
1934,ok,7
1937,ok,3
1941,ok,526
1944,ok,50
1945,ok,86
1946,ok,2
1947,ok,120
1951,ok,3
1952,ok,2
1958,ok,7
1960,ok,2
1961,ok,2
1962,ok,2
1965,ok,7
1969,ok,84
1970,ok,91
1974,ok,208
1975,ok,120
1981,ok,275
1982,ok,230
1986,ok,232
1987,ok,384
1988,ok,41
1989,ok,165
1991,ok,33
1994,ok,154
1995,ok,363
1996,ok,96
1997,ok,124
1998,ok,499
1999,ok,352
2000,ok,704
2001,ok,322
2005,ok,143
2006,ok,112
2007,ok,8
2008,ok,79
2009,ok,80
2010,ok,188
2011,ok,444
2012,ok,14
2013,ok,33
2014,ok,39
2027,ok,60
2028,ok,73
2029,ok,145
2030,ok,32
2031,ok,41
2033,ok,754
2035,ok,318
2038,ok,9
2039,ok,5
2040,ok,4
2041,ok,2
2044,ok,56
2046,ok,210
2047,ok,3
2048,ok,79
2049,ok,1
2051,ok,86
2052,ok,86
2053,ok,83
2054,ok,26
2055,ok,11
2056,ok,12
2057,ok,151
2058,ok,34
2059,ok,1
2060,ok,5
2065,ok,270
2066,ok,91
2067,ok,183
2068,ok,26
2072,ok,473
2077,ok,178
2078,ok,172
2080,ok,4
2081,ok,147
2083,ok,12
2086,ok,202
2088,ok,30
2093,ok,167
2094,ok,112
2095,ok,192
2097,ok,1
2099,ok,32
2103,ok,40
2106,ok,386
2111,ok,26
2114,ok,2
2117,ok,12
2120,ok,10
2121,ok,115
2122,ok,13
2123,ok,39
2127,ok,168
2135,ok,144
2137,ok,72
2138,ok,17
2139,ok,9
2140,ok,271
2141,ok,7
2143,ok,115
2145,ok,24
2149,ok,206
2157,ok,66
2161,ok,191
2163,ok,255
2167,ok,13
2168,ok,65
2169,ok,19
2174,ok,149
2177,ok,39
2179,ok,346
2180,ok,70
2181,ok,108
2184,ok,64
2186,ok,17
2188,ok,14
2189,ok,16
2190,ok,250
2191,ok,97
2192,ok,166
2193,ok,4
2194,ok,97
2196,ok,24
2198,ok,60
2201,ok,87
2204,ok,135
2211,ok,158
2212,ok,64
2213,ok,98
2214,ok,29
2215,ok,49
2216,ok,114
2217,ok,191
2218,ok,147
2222,ok,77
2223,ok,145
2224,ok,27
2228,ok,20
2231,ok,153
2232,ok,9
2235,ok,11
2236,ok,6
2237,ok,4
2238,ok,2
2241,ok,2
2243,ok,59
2244,ok,5
2259,ok,67
2260,ok,144
2261,ok,31
2262,ok,30
2263,ok,9
2264,ok,26
2265,ok,22
2267,ok,33
2268,ok,122
2269,ok,87
2270,ok,29
2271,ok,11
2272,ok,1
2273,ok,5
2274,ok,3
2279,ok,1
2282,ok,51
2283,ok,21
2284,ok,76
2286,ok,1
2287,ok,61
2289,ok,18
2291,ok,60
2293,ok,218
2296,ok,82
2297,ok,36
2298,ok,70
2302,ok,34
2303,ok,127
2304,ok,7
2305,ok,72
2307,ok,139
2312,ok,1
2315,ok,38
2316,ok,26
2317,ok,32
2318,ok,18
2319,ok,93
2321,ok,22
2323,ok,17
2331,ok,86
2332,ok,2
2333,ok,42
2338,ok,22
2352,ok,1
2353,ok,3
2354,ok,2
2355,ok,2
2356,ok,1
2357,ok,1
2358,ok,3
0013,vazio,0
0014,vazio,0
0015,vazio,0
0016,vazio,0
0021,vazio,0
0026,vazio,0
0033,vazio,0
0035,vazio,0
0053,vazio,0
0054,vazio,0
0055,vazio,0
0056,vazio,0
0059,vazio,0
0060,vazio,0
0061,vazio,0
0062,vazio,0
0081,vazio,0
0086,vazio,0
0088,vazio,0
0090,vazio,0
0093,vazio,0
0094,vazio,0
0103,vazio,0
0110,vazio,0
0121,ok,27
0122,ok,29
0123,ok,11
0124,ok,20
0125,ok,5
0126,vazio,0
0128,ok,127
0131,vazio,0
0132,ok,5
0133,ok,13
0137,vazio,0
0143,ok,1
0144,ok,1
0145,vazio,0
0146,ok,24
0147,ok,3
0148,ok,8
0164,vazio,0
0168,vazio,0
0196,vazio,0
0210,vazio,0
0213,vazio,0
0228,vazio,0
0239,vazio,0
0240,vazio,0
0250,vazio,0
0252,vazio,0
0260,vazio,0
0271,vazio,0
0305,vazio,0
0314,vazio,0
0318,vazio,0
0325,vazio,0
0326,vazio,0
0327,vazio,0
0334,vazio,0
0336,vazio,0
0337,vazio,0
0338,vazio,0
0339,vazio,0
0341,vazio,0
0343,vazio,0
0345,vazio,0
0347,vazio,0
0353,vazio,0
0354,vazio,0
0355,vazio,0
0357,vazio,0
0362,vazio,0
0379,vazio,0
0380,vazio,0
0386,vazio,0
0388,vazio,0
0389,vazio,0
0398,vazio,0
0400,vazio,0
0403,vazio,0
0405,vazio,0
0406,vazio,0
0426,vazio,0
0428,vazio,0
0429,vazio,0
0431,vazio,0
0435,vazio,0
0440,vazio,0
0441,vazio,0
0446,vazio,0
0447,vazio,0
0448,vazio,0
0449,vazio,0
0452,vazio,0
0453,vazio,0
0454,vazio,0
0455,vazio,0
0456,vazio,0
0460,vazio,0
0469,vazio,0
0470,vazio,0
0475,vazio,0
0476,vazio,0
0484,vazio,0
0501,vazio,0
0512,vazio,0
0513,vazio,0
0530,vazio,0
0531,vazio,0
0538,vazio,0
0539,vazio,0
0541,vazio,0
0546,vazio,0
0554,vazio,0
0555,vazio,0
0560,vazio,0
0561,vazio,0
0562,vazio,0
0563,vazio,0
0565,vazio,0
0567,vazio,0
0568,vazio,0
0570,vazio,0
0571,vazio,0
0572,vazio,0
0574,vazio,0
0575,vazio,0
0579,vazio,0
0581,vazio,0
0583,vazio,0
0584,vazio,0
0590,vazio,0
0591,vazio,0
0602,vazio,0
0603,vazio,0
0609,vazio,0
0612,vazio,0
0613,vazio,0
0626,vazio,0
0627,vazio,0
0630,vazio,0
0631,vazio,0
0634,vazio,0
0639,vazio,0
0652,vazio,0
0656,vazio,0
0657,vazio,0
0659,vazio,0
0661,vazio,0
0667,vazio,0
0682,vazio,0
0688,vazio,0
0694,vazio,0
0696,vazio,0
0702,vazio,0
0707,vazio,0
0714,vazio,0
0716,vazio,0
0717,vazio,0
0718,vazio,0
0719,vazio,0
0720,vazio,0
0732,vazio,0
0749,vazio,0
0751,vazio,0
0754,vazio,0
0757,vazio,0
0765,vazio,0
0771,vazio,0
0774,vazio,0
0775,vazio,0
0788,vazio,0
0792,vazio,0
0798,vazio,0
0806,vazio,0
0809,vazio,0
0811,vazio,0
0814,vazio,0
0815,vazio,0
0818,vazio,0
0824,vazio,0
0825,vazio,0
0831,vazio,0
0833,vazio,0
0843,vazio,0
0846,vazio,0
0847,vazio,0
0848,vazio,0
0850,vazio,0
0854,vazio,0
0855,vazio,0
0856,vazio,0
0857,vazio,0
0861,vazio,0
0866,vazio,0
0876,vazio,0
0877,vazio,0
0881,vazio,0
0889,vazio,0
0895,vazio,0
0898,vazio,0
0899,vazio,0
0901,vazio,0
0903,vazio,0
0904,vazio,0
0905,vazio,0
0909,vazio,0
0910,vazio,0
0911,vazio,0
0912,vazio,0
0914,vazio,0
0915,vazio,0
0916,vazio,0
0917,vazio,0
0921,vazio,0
0927,vazio,0
0937,vazio,0
0940,vazio,0
0945,vazio,0
0956,vazio,0
0957,vazio,0
0961,vazio,0
0962,vazio,0
0963,vazio,0
0964,vazio,0
0965,vazio,0
0968,vazio,0
0969,vazio,0
0974,vazio,0
0975,vazio,0
0979,vazio,0
0980,vazio,0
0987,vazio,0
0994,vazio,0
0995,vazio,0
0996,vazio,0
0997,vazio,0
1000,vazio,0
1002,vazio,0
1003,vazio,0
1004,vazio,0
1013,vazio,0
1014,vazio,0
1017,vazio,0
1023,vazio,0
1024,vazio,0
1025,vazio,0
1026,vazio,0
1028,vazio,0
1032,vazio,0
1036,vazio,0
1042,vazio,0
1043,vazio,0
1044,vazio,0
1045,vazio,0
1048,vazio,0
1049,vazio,0
1050,vazio,0
1055,vazio,0
1056,vazio,0
1059,vazio,0
1060,vazio,0
1077,vazio,0
1084,vazio,0
1086,vazio,0
1087,vazio,0
1088,vazio,0
1093,vazio,0
1096,vazio,0
1097,vazio,0
1115,vazio,0
1116,vazio,0
1117,vazio,0
1118,vazio,0
1120,vazio,0
1122,vazio,0
1125,vazio,0
1129,vazio,0
1130,vazio,0
1135,vazio,0
1136,vazio,0
1137,vazio,0
1140,vazio,0
1150,vazio,0
1151,vazio,0
1154,vazio,0
1163,vazio,0
1165,vazio,0
1167,vazio,0
1171,vazio,0
1176,vazio,0
1177,vazio,0
1202,vazio,0
1212,vazio,0
1213,vazio,0
1217,vazio,0
1218,vazio,0
1220,vazio,0
1225,vazio,0
1227,vazio,0
1228,vazio,0
1232,vazio,0
1247,vazio,0
1249,vazio,0
1275,vazio,0
1280,vazio,0
1282,vazio,0
1284,vazio,0
1288,vazio,0
1289,vazio,0
1293,vazio,0
1295,vazio,0
1296,vazio,0
1299,vazio,0
1317,vazio,0
1318,vazio,0
1320,vazio,0
1321,vazio,0
1322,vazio,0
1327,vazio,0
1336,vazio,0
1338,vazio,0
1339,vazio,0
1340,vazio,0
1341,vazio,0
1342,vazio,0
1343,vazio,0
1344,vazio,0
1345,vazio,0
1346,vazio,0
1347,vazio,0
1348,vazio,0
1349,vazio,0
1356,vazio,0
1357,vazio,0
1359,vazio,0
1362,vazio,0
1368,vazio,0
1371,vazio,0
1372,vazio,0
1373,vazio,0
1374,vazio,0
1375,vazio,0
1377,vazio,0
1378,vazio,0
1379,vazio,0
1380,vazio,0
1381,vazio,0
1383,vazio,0
1387,vazio,0
1391,vazio,0
1393,vazio,0
1396,vazio,0
1404,vazio,0
1407,vazio,0
1409,vazio,0
1410,vazio,0
1412,vazio,0
1414,vazio,0
1417,vazio,0
1418,vazio,0
1419,vazio,0
1420,vazio,0
1425,vazio,0
1429,vazio,0
1430,vazio,0
1433,vazio,0
1435,vazio,0
1439,vazio,0
1450,vazio,0
1451,vazio,0
1456,vazio,0
1457,vazio,0
1458,vazio,0
1459,vazio,0
1461,vazio,0
1462,vazio,0
1463,vazio,0
1464,vazio,0
1465,vazio,0
1469,vazio,0
1470,vazio,0
1471,vazio,0
1472,vazio,0
1473,vazio,0
1475,vazio,0
1476,vazio,0
1477,vazio,0
1482,vazio,0
1484,vazio,0
1488,vazio,0
1493,vazio,0
1495,vazio,0
1496,vazio,0
1499,vazio,0
1504,vazio,0
1505,vazio,0
1506,vazio,0
1507,vazio,0
1509,vazio,0
1510,vazio,0
1511,vazio,0
1518,vazio,0
1520,vazio,0
1522,vazio,0
1523,vazio,0
1524,vazio,0
1525,vazio,0
1526,vazio,0
1527,vazio,0
1528,vazio,0
1529,vazio,0
1530,vazio,0
1531,vazio,0
1534,vazio,0
1535,vazio,0
1537,vazio,0
1538,vazio,0
1546,vazio,0
1550,vazio,0
1551,vazio,0
1553,vazio,0
1554,vazio,0
1555,vazio,0
1556,vazio,0
1557,vazio,0
1558,vazio,0
1559,vazio,0
1560,vazio,0
1566,vazio,0
1567,vazio,0
1568,vazio,0
1569,vazio,0
1570,vazio,0
1571,vazio,0
1572,vazio,0
1573,vazio,0
1574,vazio,0
1575,vazio,0
1576,vazio,0
1577,vazio,0
1578,vazio,0
1579,vazio,0
1580,vazio,0
1582,vazio,0
1583,vazio,0
1597,vazio,0
1606,vazio,0
1608,vazio,0
1612,vazio,0
1614,vazio,0
1619,vazio,0
1621,vazio,0
1622,vazio,0
1623,vazio,0
1624,vazio,0
1626,vazio,0
1629,vazio,0
1631,vazio,0
1632,vazio,0
1634,vazio,0
1639,vazio,0
1640,vazio,0
1642,vazio,0
1643,vazio,0
1653,vazio,0
1656,vazio,0
1657,vazio,0
1660,vazio,0
1662,vazio,0
1664,vazio,0
1666,vazio,0
1667,vazio,0
1668,vazio,0
1670,vazio,0
1671,vazio,0
1672,vazio,0
1673,vazio,0
1678,vazio,0
1679,vazio,0
1680,vazio,0
1682,vazio,0
1684,vazio,0
1685,vazio,0
1686,vazio,0
1689,vazio,0
1691,vazio,0
1696,vazio,0
1697,vazio,0
1699,vazio,0
1701,vazio,0
1702,vazio,0
1710,vazio,0
1714,vazio,0
1715,vazio,0
1719,vazio,0
1721,vazio,0
1723,vazio,0
1724,vazio,0
1725,vazio,0
1726,vazio,0
1737,vazio,0
1738,vazio,0
1744,vazio,0
1747,vazio,0
1748,vazio,0
1752,vazio,0
1757,vazio,0
1758,vazio,0
1759,vazio,0
1760,vazio,0
1761,vazio,0
1762,vazio,0
1763,vazio,0
1764,vazio,0
1765,vazio,0
1768,vazio,0
1772,vazio,0
1776,vazio,0
1777,vazio,0
1780,vazio,0
1781,vazio,0
1782,vazio,0
1783,vazio,0
1788,vazio,0
1789,vazio,0
1793,vazio,0
1795,vazio,0
1798,vazio,0
1815,vazio,0
1816,vazio,0
1817,vazio,0
1818,vazio,0
1819,vazio,0
1820,vazio,0
1821,vazio,0
1822,vazio,0
