codigo_produto,produto_nome,base_legal,unidade,data_atualizacao,codigo_tipo,descricao_tipo,ncm,ncm_descricao
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,021,Alvejantes/branqueador de roupa,34029029,OUTRAS
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,026,Amaciante de roupa,38099190,"OUTS.AGENTES DE APRESTO OU ACABAMENTO,ETC.P/IND.TEXTIL"
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,031,Facilitador de passagem de roupa,38099190,"OUTS.AGENTES DE APRESTO OU ACABAMENTO,ETC.P/IND.TEXTIL"
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,036,Limpa vidro,,
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,041,Engomadores de roupa,38099190,"OUTS.AGENTES DE APRESTO OU ACABAMENTO,ETC.P/IND.TEXTIL"
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,051,Fungicida,,
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,055,Moluscicida,38089999,"OUTROS, INSETICIDAS, RODENTICIDAS, FUNGIC, HERBIC., INIBID.DE GERMIN. E REGUL. DE CRESC. P/ PLANTAS, DESINF. E SEMELHANT"
1713,SANEANTES,"Portaria Interministerial MDIC/MCT nº 155, de 4 de setembro de 2006",LITRO,24/11/2025 11:11,065,Raticida,38089996,raticidas
0153,"SAPATA DO FREIO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,05/01/2015 17:01,005,standard,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
1790,SECADOR DE CABELO PARA USO DOMÉSTICO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 137, 8 DE SETEMBRO DE 2025 - I -",UNIDADE,,005,standard,85163100,"SECADORES DE CABELO,ELETROTERMICOS"
1294,SECADOR PROFISSIONAL DE CABELO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 137, 8 DE SETEMBRO DE 2025 - II -",UNIDADE,22/12/2025 17:12,005,standard,85163100,"SECADORES DE CABELO,ELETROTERMICOS"
0075,SECRETÁRIA ELETRÔNICA,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,005,standard,,
1042,SELIM PARA BICICLETA,"Portaria Interministerial MDIC/MCT nº 198, de 11 de setembro de 2001",UNIDADE,,005,standard,87149500,SELINS DE BICICLETAS E OUTS.CICLOS
